Company,Ticker,Date of Purchase,Quantity Held,Market Cap (in Billions),Sector,Closing Price (USD)
Apple Inc.,AAPL,2023-01-15,100,2200,Technology,150
Amazon.com Inc.,AMZN,2023-02-28,50,1800,Retail/Technology,3000
Microsoft Corporation,MSFT,2023-03-10,200,2000,Technology,250
Alphabet Inc. (Google),GOOGL,2023-04-05,75,1900,Technology,2000
Tesla Inc.,TSLA,2023-05-20,80,700,Automotive/Technology,750
Facebook Inc.,FB,2023-06-12,150,900,Technology,400
Berkshire Hathaway Inc.,BRK.A,2023-07-30,120,650,Finance/Investments,400000
Johnson & Johnson,JNJ,2023-08-18,40,450,Healthcare,150
JPMorgan Chase & Co.,JPM,2023-09-05,90,450,Finance,150
Visa Inc.,V,2023-10-22,110,450,Finance,200
Procter & Gamble Co.,PG,2023-11-12,85,350,Consumer Goods,100
Walmart Inc.,WMT,2023-12-03,120,400,Retail,150
Mastercard Incorporated,MA,2024-01-09,60,350,Finance,400
Cisco Systems Inc.,CSCO,2024-02-17,100,250,Technology,50
Adobe Inc.,ADBE,2024-03-08,70,300,Technology,500
PayPal Holdings Inc.,PYPL,2024-04-20,65,350,Technology,250
Netflix Inc.,NFLX,2024-05-01,55,250,Technology,600
Oracle Corporation,ORCL,2024-06-14,45,200,Technology,100
Bank of America Corporation,BAC,2024-07-27,80,300,Finance,50
Pfizer Inc.,PFE,2024-08-10,110,200,Pharmaceuticals,60
Home Depot Inc.,HD,2024-09-18,70,300,Retail,200
NVIDIA Corporation,NVDA,2024-10-29,150,600,Technology,800
McDonald's Corporation,MCD,2024-11-05,100,200,Food Services,250
Visa Inc.,V,2024-12-17,95,450,Finance,220
Salesforce.com Inc.,CRM,2025-01-22,75,250,Technology,300
The Coca-Cola Company,KO,2025-02-08,85,200,Beverages,60
Bank of America Corporation,BAC,2025-03-19,120,300,Finance,70
Walt Disney Company,DIS,2025-04-30,100,300,Entertainment,150
AT&T Inc.,T,2025-05-15,60,200,Telecommunications,50
Walmart Inc.,WMT,2025-06-28,70,400,Retail,200
Intel Corporation,INTC,2025-07-09,90,250,Technology,60
Costco Wholesale Corporation,COST,2025-08-20,80,250,Retail,400
Bank of America Corporation,BAC,2025-09-03,50,300,Finance,70
Netflix Inc.,NFLX,2025-10-14,150,300,Technology,700
Adobe Inc.,ADBE,2025-11-26,85,350,Technology,550
Tesla Inc.,TSLA,2025-12-30,100,800,Automotive/Technology,800
Amazon.com Inc.,AMZN,2026-01-05,200,2000,Retail/Technology,3000
Microsoft Corporation,MSFT,2026-02-18,250,2200,Technology,250
Alphabet Inc. (Google),GOOGL,2026-03-27,180,2100,Technology,2000
Apple Inc.,AAPL,2026-04-09,110,2400,Technology,200
Facebook Inc.,FB,2026-05-14,70,1000,Technology,400
JPMorgan Chase & Co.,JPM,2026-06-25,100,500,Finance,200
Johnson & Johnson,JNJ,2026-07-08,55,400,Healthcare,150
Procter & Gamble Co.,PG,2026-08-19,90,400,Consumer Goods,100
Cisco Systems Inc.,CSCO,2026-09-30,130,250,Technology,50
Amazon.com Inc.,AMZN,2027-10-14,90,2200,Retail/Technology,3000
Microsoft Corporation,MSFT,2027-11-26,75,2300,Technology,250
Apple Inc.,AAPL,2027-12-30,110,2500,Technology,200
Google (Alphabet),GOOGL,2028-01-05,200,2400,Technology,2000
Facebook Inc.,FB,2028-02-18,250,1200,Technology,400
Johnson & Johnson,JNJ,2028-03-27,180,500,Healthcare,150
